Day_Mins,Day_Calls,Avg_Day_Mins,Day_Charge,Eve_Mins,Eve_Calls,Avg_Evn_Mins,Eve_Charge,Night_Mins,Night_Calls,Avg_Night_Mins,Night_Charge,Intl_Mins,Intl_Calls,Avg_International_Mins,Intl_Charge,Total_Day_Data,Total_Evn_Data,Total_Night_Data,Total_Data,label
265.1,110,0.414937759,45.07,197.4,99,1.993939394,16.78,244.7,91,2.689010989,11.01,10,3,3.333333333,2.7,23.40089886,65.94260244,38.98452719,128.3280285,0
161.6,123,0.761138614,27.47,195.5,103,1.898058252,16.62,254.4,103,2.469902913,11.45,13.7,3,4.566666667,3.7,65.62163748,99.26308737,37.87622978,202.7609546,0
243.4,114,0.468364832,41.38,121.2,110,1.101818182,10.3,162.6,104,1.563461538,7.32,12.2,5,2.44,3.29,83.16479918,54.62693051,55.17947857,192.9712083,0
299.4,71,0.237140949,50.9,61.9,88,0.703409091,5.26,196.9,89,2.212359551,8.86,6.6,7,0.942857143,1.78,45.35529239,69.29631138,27.88765319,142.539257,0
166.7,113,0.677864427,28.34,148.3,122,1.21557377,12.61,186.9,121,1.544628099,8.41,10.1,3,3.366666667,2.73,49.73232017,12.69428512,28.68200707,91.10861236,0
223.4,98,0.438675022,37.98,220.6,101,2.184158416,18.75,203.9,118,1.727966102,9.18,6.3,6,1.05,1.7,13.06056827,5.696475763,56.49148772,75.24853175,0
218.2,88,0.403299725,37.09,348.5,108,3.226851852,29.62,212.6,118,1.801694915,9.57,7.5,7,1.071428571,2.03,38.9193493,83.88903039,77.41338743,200.2217671,0
157,79,0.503184713,26.69,103.1,94,1.096808511,8.76,211.8,96,2.20625,9.53,7.1,6,1.183333333,1.92,75.84918137,69.17322055,47.88419129,192.9065932,0
184.5,97,0.525745257,31.37,351.6,80,4.395,29.89,215.8,90,2.397777778,9.71,8.7,4,2.175,2.35,61.99115742,58.84522497,23.02887055,143.8652529,0
258.6,84,0.324825986,43.96,222,111,2,18.87,326.4,97,3.364948454,14.69,11.2,5,2.24,3.02,46.50925028,19.83429406,87.72532224,154.0688666,0
129.1,137,1.061192874,21.95,228.5,83,2.753012048,19.42,208.8,111,1.881081081,9.4,12.7,6,2.116666667,3.43,97.89981419,62.12421045,52.84361506,212.8676397,1
187.7,127,0.676611614,31.91,163.4,148,1.104054054,13.89,196,94,2.085106383,8.82,9.1,5,1.82,2.46,56.44979572,64.38065957,45.63733976,166.467795,0
128.8,96,0.745341615,21.9,104.9,71,1.477464789,8.92,141.1,128,1.10234375,6.35,11.2,2,5.6,3.02,10.86970484,84.26924807,70.35097457,165.4899275,0
156.6,88,0.561941252,26.62,247.6,75,3.301333333,21.05,192.3,115,1.672173913,8.65,12.3,5,2.46,3.32,45.54368204,97.58492416,3.623352924,146.7519591,0
120.7,70,0.57995029,20.52,307.2,76,4.042105263,26.11,203,99,2.050505051,9.14,13.1,6,2.183333333,3.54,38.48659851,66.98641538,53.26856487,158.7415788,0
332.9,67,0.20126164,56.59,317.8,97,3.27628866,27.01,160.6,128,1.2546875,7.23,5.4,9,0.6,1.46,91.20824237,89.93290432,15.37454974,196.5156964,1
196.4,139,0.707739308,33.39,280.9,90,3.121111111,23.88,89.3,75,1.190666667,4.02,13.8,4,3.45,3.73,49.26025197,75.32539226,32.61542805,157.2010723,0
190.7,114,0.597797588,32.42,218.2,111,1.965765766,18.55,129.6,121,1.07107438,5.83,8.1,3,2.7,2.19,32.32443498,31.04558367,48.68313264,112.0531513,0
189.7,66,0.347917765,32.25,212.8,65,3.273846154,18.09,165.7,108,1.534259259,7.46,10,5,2,2.7,46.96737308,95.26711002,12.22643705,154.4609201,0
224.4,90,0.401069519,38.15,159.5,88,1.8125,13.56,192.8,74,2.605405405,8.68,13,2,6.5,3.51,81.21929165,37.86099138,58.91791834,177.9982014,0
155.1,117,0.754352031,26.37,239.7,93,2.577419355,20.37,208.8,133,1.569924812,9.4,10.6,4,2.65,2.86,83.12100497,68.48268001,65.459288,217.062973,0
62.4,89,1.426282051,10.61,169.9,121,1.404132231,14.44,209.6,64,3.275,9.43,5.7,6,0.95,1.54,82.74233872,69.96053435,29.91687359,182.6197467,1
183,112,0.612021858,31.11,72.9,99,0.736363636,6.2,181.8,78,2.330769231,8.18,9.5,19,0.5,2.57,10.13581446,72.32376746,99.82509414,182.284676,0
110.4,103,0.932971014,18.77,137.3,102,1.346078431,11.67,189.6,105,1.805714286,8.53,7.7,6,1.283333333,2.08,92.66035281,26.28931938,22.3431213,141.2927935,0
81.1,86,1.060419236,13.79,245.2,72,3.405555556,20.84,237,115,2.060869565,10.67,10.3,2,5.15,2.78,5.352042846,37.52604611,77.31451111,120.1926001,0
124.3,76,0.611423974,21.13,277.1,112,2.474107143,23.55,250.7,115,2.18,11.28,15.5,5,3.1,4.19,88.37713956,86.49047567,71.94143779,246.809053,0
213,115,0.539906103,36.21,191.1,112,1.70625,16.24,182.7,115,1.588695652,8.22,9.5,3,3.166666667,2.57,90.93441778,47.96456967,12.62640998,151.5253974,0
134.3,73,0.543559196,22.83,155.5,100,1.555,13.22,102.1,68,1.501470588,4.59,14.7,4,3.675,3.97,88.36907054,94.65592517,66.0745326,249.0995283,0
190,109,0.573684211,32.3,258.2,84,3.073809524,21.95,181.5,102,1.779411765,8.17,6.3,6,1.05,1.7,5.325625945,64.9103195,93.85856061,164.094506,0
119.3,117,0.980720872,20.28,215.1,109,1.973394495,18.28,178.7,90,1.985555556,8.04,11.1,1,11.1,3,72.51116962,23.64944462,79.72157254,175.8821868,0
84.8,95,1.120283019,14.42,136.7,63,2.16984127,11.62,250.5,148,1.692567568,11.27,14.2,6,2.366666667,3.83,90.77851221,36.93050205,53.92354235,181.6325566,0
226.1,105,0.464396285,38.44,201.5,107,1.88317757,17.13,246.2,98,2.512244898,11.08,10.3,5,2.06,2.78,87.22387973,54.32429101,36.19007956,177.7382503,0
212,121,0.570754717,36.04,31.2,115,0.271304348,2.65,293.3,78,3.76025641,13.2,12.6,10,1.26,3.4,80.06785208,39.65321142,41.71116549,161.432229,0
249.6,118,0.47275641,42.43,252.4,119,2.121008403,21.45,280.2,90,3.113333333,12.61,11.8,3,3.933333333,3.19,98.30707483,43.8336056,14.11365542,156.2543359,1
176.8,94,0.531674208,30.06,195,75,2.6,16.58,213.5,116,1.840517241,9.61,8.3,4,2.075,2.24,47.7466055,93.66680245,28.22031424,169.6337222,0
220,80,0.363636364,37.4,217.3,102,2.130392157,18.47,152.8,71,2.152112676,6.88,14.7,6,2.45,3.97,91.40275676,31.83099792,40.85535697,164.0891116,0
146.3,128,0.874914559,24.87,162.5,80,2.03125,13.81,129.3,109,1.186238532,5.82,14.5,6,2.416666667,3.92,32.71102494,86.78063052,90.71472583,210.2063813,0
130.8,64,0.489296636,22.24,223.7,116,1.928448276,19.01,227.8,108,2.109259259,10.25,10,5,2,2.7,11.46122868,46.60309462,33.75096369,91.81528699,0
203.9,106,0.519862678,34.66,187.6,99,1.894949495,15.95,101.7,107,0.95046729,4.58,10.5,6,1.75,2.84,40.45993152,72.84000547,28.31603716,141.6159742,0
140.4,94,0.66951567,23.87,271.8,92,2.954347826,23.1,188.3,108,1.743518519,8.47,11.1,9,1.233333333,3,74.1210032,71.30357356,17.0235922,162.448169,0
126.3,102,0.80760095,21.47,166.8,85,1.962352941,14.18,187.8,135,1.391111111,8.45,9.4,2,4.7,2.54,79.06484123,44.05530073,54.95393259,178.0740745,0
173.1,85,0.491045638,29.43,203.9,107,1.905607477,17.33,122.2,78,1.566666667,5.5,14.6,15,0.973333333,3.94,71.24399289,78.49080441,55.73030166,205.465099,1
124.8,82,0.657051282,21.22,282.2,98,2.879591837,23.99,311.5,78,3.993589744,14.02,10,4,2.5,2.7,66.55789938,32.33597419,22.99108397,121.8849575,0
85.8,77,0.897435897,14.59,165.3,110,1.502727273,14.05,178.5,92,1.940217391,8.03,9.2,4,2.3,2.48,85.16756964,39.22669707,92.43240603,216.8266727,0
154,67,0.435064935,26.18,225.8,118,1.913559322,19.19,265.3,86,3.084883721,11.94,3.5,3,1.166666667,0.95,77.66285256,67.912598,15.25959307,160.8350436,0
120.9,97,0.802315964,20.55,213,92,2.315217391,18.11,163.1,116,1.406034483,7.34,8.5,5,1.7,2.3,55.65856822,69.20684329,60.05034723,184.9157587,0
211.3,120,0.56791292,35.92,162.6,122,1.332786885,13.82,134.7,118,1.141525424,6.06,13.2,5,2.64,3.56,76.83845104,38.62966689,37.39648373,152.8646017,0
187,133,0.711229947,31.79,134.6,74,1.818918919,11.44,242.2,127,1.907086614,10.9,7.4,5,1.48,2,78.69445221,91.99813998,14.39955657,185.0921488,0
159.1,114,0.716530484,27.05,231.3,117,1.976923077,19.66,143.2,91,1.573626374,6.44,8.8,3,2.933333333,2.38,17.20979062,80.53917323,72.23298771,169.9819516,1
133.2,135,1.013513514,22.64,217.2,58,3.744827586,18.46,70.6,79,0.893670886,3.18,11,3,3.666666667,2.97,74.28947382,21.76737485,78.74845701,174.8053057,0
191.9,108,0.562793121,32.62,269.8,96,2.810416667,22.93,236.8,87,2.72183908,10.66,7.8,5,1.56,2.11,2.686131168,32.89070744,91.63923251,127.2160711,0
220.6,57,0.258386219,37.5,211.1,115,1.835652174,17.94,249,129,1.930232558,11.21,6.8,3,2.266666667,1.84,96.10932789,45.70924021,81.84353967,223.6621078,0
186.1,112,0.601826975,31.64,190.2,66,2.881818182,16.17,282.8,57,4.961403509,12.73,11.4,6,1.9,3.08,52.36204923,52.04050105,18.09698101,122.4995313,0
160.2,117,0.730337079,27.23,267.5,67,3.992537313,22.74,228.5,68,3.360294118,10.28,9.3,5,1.86,2.51,8.5944169,42.97777133,0.793433449,52.36562168,0
151,83,0.549668874,25.67,219.7,116,1.893965517,18.67,203.9,127,1.605511811,9.18,9.7,3,3.233333333,2.62,27.95471931,90.06758203,92.15925814,210.1815595,1
175.5,67,0.381766382,29.84,249.3,85,2.932941176,21.19,270.2,98,2.757142857,12.16,10.2,3,3.4,2.75,71.99454282,23.94296034,54.96607651,150.9035797,0
126.9,98,0.772261623,21.57,180,62,2.903225806,15.3,140.8,128,1.1,6.34,8,2,4,2.16,13.17264644,32.46949021,77.0119886,122.6541253,0
198.4,129,0.650201613,33.73,75.3,77,0.977922078,6.4,181.2,77,2.353246753,8.15,5.8,3,1.933333333,1.57,57.26502437,83.8954917,26.9712241,168.1317402,1
148.8,70,0.470430108,25.3,246.5,164,1.50304878,20.95,129.8,103,1.260194175,5.84,12.1,3,4.033333333,3.27,96.78567689,13.72098946,6.160737302,116.6674037,0
229.3,103,0.449193197,38.98,177.4,126,1.407936508,15.08,189.3,95,1.992631579,8.52,12,8,1.5,3.24,53.39307546,30.26499439,88.05113144,171.7092013,0
192.1,97,0.504945341,32.66,169.9,94,1.807446809,14.44,166.6,54,3.085185185,7.5,11.4,4,2.85,3.08,43.04880085,19.56609683,24.27343993,86.88833761,0
268.6,83,0.30900968,45.66,178.2,142,1.254929577,15.15,166.3,106,1.568867925,7.48,11.6,3,3.866666667,3.13,96.01569791,38.63434921,6.798792467,141.4488396,0
193.7,91,0.469798658,32.93,246.1,96,2.563541667,20.92,138,92,1.5,6.21,14.6,3,4.866666667,3.94,75.21874335,69.1449056,77.42586722,221.7895162,0
180.7,92,0.509131157,30.72,187.8,64,2.934375,15.96,265.5,53,5.009433962,11.95,12.6,3,4.2,3.4,29.16553472,79.39730021,84.08735746,192.6501924,0
131.2,98,0.74695122,22.3,162.9,97,1.679381443,13.85,159,106,1.5,7.15,8.2,6,1.366666667,2.21,99.05391616,35.7635756,28.2317853,163.0492771,0
148.1,74,0.49966239,25.18,169.5,88,1.926136364,14.41,214.1,102,2.099019608,9.63,6.2,5,1.24,1.67,36.16702985,64.76332475,88.03360573,188.9639603,0
251.5,105,0.41749503,42.76,212.8,104,2.046153846,18.09,157.8,67,2.355223881,7.1,9.3,4,2.325,2.51,91.74753688,89.80450596,34.35954149,215.9115843,0
125.2,93,0.742811502,21.28,206.4,119,1.734453782,17.54,129.3,139,0.930215827,5.82,8.3,8,1.0375,2.24,90.97639901,0.025069559,69.63499151,160.6364601,0
211.6,70,0.330812854,35.97,216.9,80,2.71125,18.44,153.5,60,2.558333333,6.91,7.8,1,7.8,2.11,25.0017616,50.65213292,64.08980475,139.7436993,0
178.9,101,0.564561207,30.41,169.1,110,1.537272727,14.37,148.6,100,1.486,6.69,13.8,3,4.6,3.73,48.39941481,38.48060715,19.57845723,106.4584792,1
241.8,93,0.384615385,41.11,170.5,83,2.054216867,14.49,295.3,104,2.839423077,13.29,11.8,7,1.685714286,3.19,70.67462237,80.07315812,19.56511846,170.3128989,0
224.9,97,0.431302801,38.23,188.2,84,2.24047619,16,254.6,61,4.173770492,11.46,12.1,2,6.05,3.27,10.4346824,25.37458472,2.27881127,38.08807839,0
248.6,83,0.33386967,42.26,148.9,85,1.751764706,12.66,172.5,109,1.582568807,7.76,8,4,2,2.16,75.99994688,18.26199688,43.66709118,137.9290349,0
203.4,146,0.717797443,34.58,226.7,117,1.937606838,19.27,152.4,105,1.451428571,6.86,7.3,4,1.825,1.97,3.456155927,3.47713332,90.98990569,97.92319493,0
235.8,109,0.462256149,40.09,157.2,94,1.672340426,13.36,188.2,99,1.901010101,8.47,12,3,4,3.24,52.84388387,37.26319476,20.23170052,110.3387791,0
157.1,90,0.572883514,26.71,223.3,72,3.101388889,18.98,181.4,111,1.634234234,8.16,6.1,2,3.05,1.65,93.77564998,70.11033834,54.38268005,218.2686684,0
300.3,109,0.362970363,51.05,181,100,1.81,15.39,270.1,73,3.7,12.15,11.7,4,2.925,3.16,95.47683634,2.59516224,2.102849271,100.1748479,1
61.6,117,1.899350649,10.47,77.1,85,0.907058824,6.55,173,99,1.747474747,7.79,8.2,7,1.171428571,2.21,52.7710491,61.32538092,83.6552311,197.7516611,1
214.1,72,0.336291453,36.4,164.4,104,1.580769231,13.97,177.5,113,1.57079646,7.99,8.2,3,2.733333333,2.21,52.0490178,9.358214235,89.43546048,150.8426925,0
170.2,98,0.575793184,28.93,155.2,102,1.521568627,13.19,228.6,76,3.007894737,10.29,15,2,7.5,4.05,79.1897031,71.03727995,69.02753694,219.25452,0
201.1,99,0.492292392,34.19,303.5,74,4.101351351,25.8,224,119,1.882352941,10.08,13.2,2,6.6,3.56,47.3267704,40.72959293,48.72999898,136.7863623,0
215.4,104,0.482822656,36.62,204.8,79,2.592405063,17.41,278.5,109,2.555045872,12.53,12.6,5,2.52,3.4,59.86717023,6.916993067,34.77227839,101.5564417,0
165.6,123,0.742753623,28.15,136.1,95,1.432631579,11.57,175.7,90,1.952222222,7.91,11,2,5.5,2.97,77.41347732,63.92461034,25.33492194,166.6730096,0
249.5,101,0.404809619,42.42,259.7,98,2.65,22.07,222.7,68,3.275,10.02,9.8,4,2.45,2.65,56.74458312,60.16959109,63.10793707,180.0221113,0
210.6,96,0.455840456,35.8,249.2,85,2.931764706,21.18,191.4,88,2.175,8.61,12.4,1,12.4,3.35,67.57058147,89.37336127,52.29354171,209.2374845,1
179.3,104,0.580033463,30.48,225.9,86,2.626744186,19.2,323,78,4.141025641,14.54,8.6,7,1.228571429,2.32,13.63805615,38.33063373,77.39462634,129.3633162,0
157.9,105,0.664977834,26.84,155,101,1.534653465,13.18,189.6,84,2.257142857,8.53,8,5,1.6,2.16,42.61644059,96.2116893,53.14569737,191.9738273,1
214.3,118,0.550629958,36.43,208.5,76,2.743421053,17.72,182.4,98,1.86122449,8.21,12,2,6,3.24,37.18340287,66.07894421,34.59210821,137.8544553,0
154.1,104,0.674886437,26.2,123.4,84,1.469047619,10.49,202.1,57,3.545614035,9.09,10.9,9,1.211111111,2.94,44.50532776,22.06699126,96.23067549,162.8029945,0
237.9,125,0.525430853,40.44,247.6,93,2.662365591,21.05,208.9,68,3.072058824,9.4,13.9,4,3.475,3.75,74.49627505,26.91512525,33.752383,135.1637833,1
143.9,61,0.42390549,24.46,194.9,105,1.856190476,16.57,109.6,94,1.165957447,4.93,11.1,2,5.55,3,58.65896268,68.22636349,76.2360938,203.12142,0
203.4,100,0.491642085,34.58,190.9,104,1.835576923,16.23,196,119,1.647058824,8.82,8.9,4,2.225,2.4,12.55893163,98.73134325,47.17794549,158.4682204,1
124.3,100,0.804505229,21.13,173,107,1.61682243,14.71,253.2,62,4.083870968,11.39,7.9,9,0.877777778,2.13,65.61529646,54.01990022,18.91889363,138.5540903,0
252.9,93,0.367734282,42.99,178.4,112,1.592857143,15.16,263.9,105,2.513333333,11.88,9.5,7,1.357142857,2.57,4.336269091,71.69109387,60.90199353,136.9293565,0
